"Title","URL","Assignees","Priority","Estimate","Size","Labels","Milestone"
"Upload Snapshot feature board sprint 1","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/2","dancingsushii,  op-hub","P0",,,"organizational",
"Upload Planning document pdf sprint 1","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/3","dancingsushii,  op-hub","P0",,,"organizational",
"Define division and team distribution","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/11",,,,,"organizational",
"Upload imp-squared board sprint 1","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/4","Battlemech","P0",,,"organizational",
"Design Team Logo","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/7","Superschnizel",,,,"organizational",
"Getting started with Datalake","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/8",,,,,"feature, organizational","Data Lake"
"Getting Started with CI/CD","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/12",,,,,"feature, organizational","CI/CD"
"Getting Started with Interface","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/9",,,,,"feature, organizational","Interface"
"Getting Started with UI","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/10",,,,,"feature, organizational","UI"
"Set up Team Contract","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/13",,,,,"organizational",
"Watch getting started with amos Videos","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/6","dancingsushii,  op-hub",,,,"organizational",
"Team Logo and Tshirt","https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/5","Superschnizel","P1",,,"organizational",
